ime,priimek,starost,pozicija,stevilo_iger,povprecje_tocke,povprecje_osebne_napake,povprecje_asistence,povprecje_skoki,povprecje_trojke
Spencer,Dinwiddie,29,SG-PG,79,17.3,2.4,6.5,3.4,2.3
Donte,DiVincenzo,26,SG,72,9.4,1.8,3.5,4.5,2.1
Luka,Dončić,23,PG,66,32.4,2.5,8.0,8.6,2.8
Tyler,Dorsey,26,SF,3,3.0,0.0,0.0,0.7,0.3
Luguentz,Dort,23,SF,74,13.7,3.3,2.1,4.6,1.8
Ayo,Dosunmu,23,SG,80,8.6,2.3,2.6,2.8,0.7
Devon,Dotson,23,PG,6,0.5,1.5,1.3,1.7,0.2
Jeff,Dowtin,25,PG,25,2.4,0.5,1.2,0.9,0.2
PJ,Dozier,26,SF,16,1.4,0.4,0.6,0.9,0.1
Goran,Dragić,36,PG,58,6.3,1.1,2.6,1.4,0.9
Andre,Drummond,29,C,67,6.0,1.7,0.5,6.6,0.0
Chris,Duarte,25,SF,46,7.9,1.4,1.4,2.5,1.2
David,Duke,23,SG,23,3.7,1.3,0.9,1.3,0.0
Kris,Dunn,28,PG,22,13.2,2.6,5.6,4.5,0.8
Kevin,Durant,34,PF,47,29.1,2.1,5.0,6.7,2.0
Jalen,Duren,19,C,67,9.1,2.7,1.1,8.9,0.0
Tari,Eason,21,PF,82,9.3,2.3,1.1,6.0,0.7
Anthony,Edwards,21,SG,79,24.6,2.4,4.4,5.8,2.7
Kessler,Edwards,22,SF,36,2.8,1.1,0.6,1.7,0.5
Keon,Ellis,23,SG,16,1.5,0.6,0.4,0.5,0.4
Joel,Embiid,28,C,66,33.1,3.1,4.2,10.2,1.0
Drew,Eubanks,25,C,78,6.6,2.2,1.3,5.4,0.1
Bruno,Fernando,24,C,39,3.9,1.9,0.8,3.5,0.0
Dorian,Finney-Smith,29,PF,66,8.3,2.2,1.5,4.8,1.7
Malachi,Flynn,24,PG,53,4.6,1.2,1.3,1.4,0.9
Simone,Fontecchio,27,SF,52,6.3,1.2,0.8,1.7,1.2
Bryn,Forbes,29,SG,25,3.6,0.9,0.7,0.6,0.6
Trent,Forrest,24,SG,23,2.3,0.7,1.7,1.6,0.0
Michael,Foster,20,PF,1,0.0,0.0,0.0,0.0,0.0
Evan,Fournier,30,SG,27,6.1,1.7,1.3,1.8,1.3
De'Aaron,Fox,25,PG,73,25.0,2.4,6.1,4.2,1.6
Markelle,Fultz,24,PG,60,14.0,2.2,5.7,3.9,0.5
Wenyen,Gabriel,25,C,68,5.5,2.1,0.5,4.2,0.1
Daniel,Gafford,24,C,78,9.0,2.4,1.1,5.6,0.0
Darius,Garland,23,PG,69,21.6,2.1,7.8,2.7,2.4
Usman,Garuba,20,C,75,3.0,1.8,0.9,4.1,0.3
Luka,Garza,24,C,28,6.5,1.5,0.6,2.3,0.5
Rudy,Gay,36,PF,56,5.2,1.2,1.0,2.9,0.6
Paul,George,32,SF,56,23.8,2.8,5.1,6.1,2.8
Taj,Gibson,37,C,49,3.4,1.7,0.7,1.9,0.2
Josh,Giddey,20,PF,76,16.6,1.9,6.2,7.9,1.0
Shai,Gilgeous-Alexander,24,PG,68,31.4,2.8,5.5,4.8,0.9
Anthony,Gill,30,PF,59,3.3,1.2,0.6,1.7,0.1
Jacob,Gilyard,24,PG,1,3.0,3.0,7.0,4.0,1.0
Rudy,Gobert,30,C,70,13.4,3.0,1.2,11.6,0.0
Jordan,Goodwin,24,PG,62,6.6,1.5,2.7,3.3,0.6
Aaron,Gordon,27,PF,68,16.3,1.9,3.0,6.6,0.9
Eric,Gordon,34,SG,69,12.4,1.1,2.7,1.9,1.9
Devonte',Graham,27,PG,73,7.4,1.1,2.7,1.7,1.6
Jerami,Grant,28,PF,63,20.5,2.4,2.4,4.5,2.3
RaiQuan,Gray,23,PF,1,16.0,5.0,7.0,9.0,2.0
A.J.,Green,23,SG,35,4.4,0.9,0.6,1.3,1.3
Danny,Green,35,SG,11,5.5,1.5,0.5,1.3,1.5
Draymond,Green,32,PF,73,8.5,3.1,6.8,7.2,0.5
Jalen,Green,20,SG,76,22.1,1.7,3.7,3.7,2.5
JaMychal,Green,32,PF,57,6.4,1.8,0.9,3.6,0.7
Javonte,Green,29,SF,32,5.2,1.6,0.7,2.8,0.4
Jeff,Green,36,PF,56,7.8,1.8,1.2,2.6,0.5
Josh,Green,22,SG,60,9.1,2.6,1.7,3.0,1.1
AJ,Griffin,19,SF,72,8.9,1.2,1.0,2.1,1.4
Blake,Griffin,33,C,41,4.1,1.8,1.5,3.8,0.6
Quentin,Grimes,22,SG,71,11.3,2.5,2.1,3.2,2.2
Rui,Hachimura,24,PF,63,11.2,1.1,0.9,4.5,0.8
Tyrese,Haliburton,22,PG,56,20.7,1.2,10.4,3.7,2.9
Jordan,Hall,21,SF,9,3.1,0.7,1.2,1.3,0.3
R.J.,Hampton,21,SG,47,6.4,1.1,1.1,1.9,0.9
Tim,Hardaway,30,SF,71,14.4,1.7,1.8,3.5,3.0
James,Harden,33,PG,58,21.0,1.9,10.7,6.1,2.8
Jaden,Hardy,20,SG,48,8.8,1.3,1.4,1.9,1.3
Ron,Harper,22,PF,9,2.2,0.3,0.4,0.8,0.3
Montrezl,Harrell,29,C,57,5.6,1.3,0.6,2.8,0.0
Gary,Harris,28,SG,48,8.3,1.9,1.2,2.0,2.0
Joe,Harris,31,SF,74,7.6,1.9,1.4,2.2,1.9
Kevon,Harris,25,SG,34,4.1,1.6,0.5,2.1,0.5
Tobias,Harris,30,SF,74,14.7,2.0,2.5,5.7,1.7
Shaquille,Harrison,29,SG,5,8.8,2.4,6.0,4.4,0.6
Josh,Hart,27,SF,76,9.8,2.6,3.8,7.8,0.8
Isaiah,Hartenstein,24,C,82,5.0,2.6,1.2,6.5,0.1
Udonis,Haslem,42,C,7,3.9,1.6,0.0,1.6,0.4
Sam,Hauser,25,SF,80,6.4,1.2,0.9,2.6,1.8
Jaxson,Hayes,22,C,47,5.0,1.4,0.7,2.8,0.1
Killian,Hayes,21,PG,76,10.3,2.9,6.2,2.9,1.1
Gordon,Hayward,32,SF,50,14.7,1.4,4.1,4.3,1.0
Juancho,Hernangómez,27,PF,42,2.9,1.0,0.6,2.9,0.4
Willy,Hernangómez,28,C,38,6.9,1.7,0.9,4.7,0.1
Tyler,Herro,23,SG,67,20.1,1.5,4.2,5.4,3.0
Buddy,Hield,30,SF,80,16.8,2.0,2.8,5.0,3.6
Haywood,Highsmith,26,PF,54,4.4,1.5,0.8,3.5,0.7
George,Hill,36,PG-SG,46,5.0,1.2,2.4,1.8,0.7
Malcolm,Hill,27,SF,5,1.0,0.2,0.0,0.6,0.2
Aaron,Holiday,26,PG,63,3.9,1.3,1.4,1.2,0.6
Jrue,Holiday,32,PG,67,19.3,1.7,7.4,5.1,2.4
Justin,Holiday,33,SF,46,4.5,1.5,0.9,1.2,1.0
Richaun,Holmes,29,C,42,3.1,1.2,0.2,1.9,0.1
Al,Horford,36,C,63,9.8,1.9,3.0,6.2,2.3
Talen,Horton-Tucker,22,SG,65,10.7,1.7,3.8,3.2,0.9
Danuel,House,29,SF,56,4.8,1.2,0.8,1.7,0.7
Caleb,Houstan,20,SF,51,3.8,1.2,0.6,1.9,0.9
Trevor,Hudgins,23,PG,5,1.8,0.2,0.6,0.0,0.4
Kevin,Huerter,24,SG,75,15.2,2.4,2.9,3.3,2.7
Jay,Huff,24,C,7,7.3,2.1,1.4,3.0,0.9
De'Andre,Hunter,25,SF,67,15.4,3.0,1.4,4.2,1.5
Bones,Hyland,22,PG,56,11.8,1.7,3.1,2.4,2.1
Serge,Ibaka,33,C,16,4.1,1.4,0.3,2.8,0.4
Andre,Iguodala,39,PF,8,2.1,1.4,2.4,2.1,0.1
Joe,Ingles,35,SF,46,6.9,1.6,3.3,2.8,1.8
Brandon,Ingram,25,SF,45,24.7,2.6,5.8,5.5,1.4
Kyrie,Irving,30,PG-SG,60,27.1,2.8,5.5,5.1,3.1
Jonathan,Isaac,25,PF,11,5.0,0.5,0.5,4.0,0.5
Jaden,Ivey,20,SG,74,16.3,3.3,5.2,3.9,1.6
Frank,Jackson,24,PG,1,0.0,0.0,1.0,2.0,0.0
Isaiah,Jackson,21,C,63,7.2,2.4,0.8,4.5,0.0
Jaren,Jackson,23,C,63,18.6,3.6,1.0,6.8,1.6
Justin,Jackson,27,SF,23,0.9,0.3,0.4,0.7,0.2
Quenton,Jackson,24,PG,9,6.2,1.1,1.7,0.9,0.1
Reggie,Jackson,32,PG,68,10.2,1.7,3.4,2.1,1.4
LeBron,James,38,PF,55,28.9,1.6,6.8,8.3,2.2
Ty,Jerome,25,SG,45,6.9,1.4,3.0,1.7,0.8
Isaiah,Joe,23,SG,73,9.5,1.4,1.2,2.4,2.2
Alize,Johnson,26,PF,4,1.8,0.8,0.3,2.5,0.0
Cameron,Johnson,26,PF,42,15.5,2.0,1.9,4.4,2.5
Jalen,Johnson,21,SF,70,5.6,1.6,1.2,4.0,0.4
James,Johnson,35,PF,18,2.8,1.8,0.8,1.7,0.2
Keldon,Johnson,23,SF,63,22.0,2.0,2.9,5.0,2.1
Keon,Johnson,20,SG,40,4.7,1.1,1.5,1.1,0.7
Stanley,Johnson,26,SF,30,5.8,1.6,2.2,3.2,0.6
Nikola,Jokić,27,C,69,24.5,2.5,9.8,11.8,0.8
Carlik,Jones,25,PG,7,2.9,0.3,0.9,0.7,0.4
Damian,Jones,27,C,41,3.5,1.3,0.4,3.0,0.2
Derrick,Jones,25,PF,64,5.0,1.3,0.5,2.4,0.4
Herbert,Jones,24,PF,66,9.8,3.2,2.5,4.1,0.8
Kai,Jones,22,C,46,3.4,1.4,0.3,2.7,0.1
Tre,Jones,23,PG,68,12.9,1.4,6.6,3.6,0.7
Tyus,Jones,26,PG,80,10.3,0.4,5.2,2.5,1.5
DeAndre,Jordan,34,C,39,5.1,1.8,0.9,5.2,0.0
Cory,Joseph,31,PG,62,6.9,1.4,3.5,1.7,1.1
Nikola,Jović,19,PF,15,5.5,1.3,0.7,2.1,0.5
Johnny,Juzang,21,SG,18,4.8,0.7,0.4,2.2,0.8
Mfiondu,Kabengele,25,PF,4,1.5,0.8,0.0,2.5,0.0
Frank,Kaminsky,29,C,36,2.5,0.6,0.9,1.4,0.4
Trevor,Keels,19,SG,3,1.0,0.0,0.0,0.7,0.3
Luke,Kennard,26,SG,59,9.3,1.4,1.5,2.7,2.3
Walker,Kessler,21,C,74,9.2,2.3,0.9,8.4,0.0
